涉及疾病,涉及疾病的编号,网络,网络ID
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,nt06527
Autoimmune lymphoproliferative syndromes,H00108,TCR/BCR signaling,nt06537
Non-Hodgkin lymphoma,H02418,Double-strand break repair,nt06506
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Chronic lymphocytic leukemia,H00005,Double-strand break repair,nt06506
Small cell lung cancer,H00013,Small cell lung cancer,nt06267
Small cell lung cancer,H00013,Chromosome cohesion and segregation,nt06512
Small cell lung cancer,H00013,Apoptosis,nt06524
Cervical cancer,H00030,Human papillomavirus (HPV),nt06166
Cervical cancer,H00030,NOTCH signaling,nt06511
Cervical cancer,H00030,TNF signaling,nt06516
Cervical cancer,H00030,TLR signaling,nt06517
Cervical cancer,H00030,mTOR signaling,nt06522
Cervical cancer,H00030,Apoptosis,nt06524
Kaposi sarcoma,H00041,Kaposi sarcoma-associated herpesvirus (KSHV),nt06164
Kaposi sarcoma,H00041,WNT signaling,nt06505
Kaposi sarcoma,H00041,Complement cascade,nt06513
Kaposi sarcoma,H00041,TNF signaling,nt06516
Kaposi sarcoma,H00041,TLR signaling,nt06517
Kaposi sarcoma,H00041,JAK-STAT signaling,nt06518
Kaposi sarcoma,H00041,Apoptosis,nt06524
Kaposi sarcoma,H00041,Autophagy,nt06532
Kaposi sarcoma,H00041,Chemokine signaling,nt06533
Nasopharyngeal cancer,H00054,TNF signaling,nt06516
Nasopharyngeal cancer,H00054,TLR signaling,nt06517
Nasopharyngeal cancer,H00054,JAK-STAT signaling,nt06518
Nasopharyngeal cancer,H00054,RLR signaling,nt06519
Nasopharyngeal cancer,H00054,Apoptosis,nt06524
Nasopharyngeal cancer,H00054,TCR/BCR signaling,nt06537
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Bladder cancer,H00022,Bladder cancer,nt06265
Cervical cancer,H00030,Human papillomavirus (HPV),nt06166
Cervical cancer,H00030,NOTCH signaling,nt06511
Cervical cancer,H00030,TNF signaling,nt06516
Cervical cancer,H00030,TLR signaling,nt06517
Cervical cancer,H00030,mTOR signaling,nt06522
Cervical cancer,H00030,Apoptosis,nt06524
Thyroid cancer,H00032,Thyroid cancer,nt06274
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Medullary thyroid cancer,H01592,MAPK signaling,nt06526
Costello syndrome,H01747,MAPK signaling,nt06526
Epidermal nevus,H02627,PI3K signaling,nt06530
Acute myeloid leukemia,H00003,Acute myeloid leukemia,nt06275
Acute myeloid leukemia,H00003,PI3K signaling,nt06530
Acute myeloid leukemia,H00003,Efferocytosis,nt06535
Non-small cell lung cancer,H00014,Non-small cell lung cancer,nt06266
Non-small cell lung cancer,H00014,Chromosome cohesion and segregation,nt06512
Non-small cell lung cancer,H00014,Calcium signaling,nt06528
Gastric cancer,H00018,Gastric cancer,nt06261
Gastric cancer,H00018,Base excision repair,nt06504
Gastric cancer,H00018,WNT signaling,nt06505
Pancreatic cancer,H00019,Pancreatic cancer,nt06262
Pancreatic cancer,H00019,Double-strand break repair,nt06506
Pancreatic cancer,H00019,Interstrand crosslink repair,nt06508
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Endometrial cancer,H00026,Endometrial cancer,nt06271
Endometrial cancer,H00026,WNT signaling,nt06505
Cervical cancer,H00030,Human papillomavirus (HPV),nt06166
Cervical cancer,H00030,NOTCH signaling,nt06511
Cervical cancer,H00030,TNF signaling,nt06516
Cervical cancer,H00030,TLR signaling,nt06517
Cervical cancer,H00030,mTOR signaling,nt06522
Cervical cancer,H00030,Apoptosis,nt06524
Thyroid cancer,H00032,Thyroid cancer,nt06274
Kaposi sarcoma,H00041,Kaposi sarcoma-associated herpesvirus (KSHV),nt06164
Kaposi sarcoma,H00041,WNT signaling,nt06505
Kaposi sarcoma,H00041,Complement cascade,nt06513
Kaposi sarcoma,H00041,TNF signaling,nt06516
Kaposi sarcoma,H00041,TLR signaling,nt06517
Kaposi sarcoma,H00041,JAK-STAT signaling,nt06518
Kaposi sarcoma,H00041,Apoptosis,nt06524
Kaposi sarcoma,H00041,Autophagy,nt06532
Kaposi sarcoma,H00041,Chemokine signaling,nt06533
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Medullary thyroid cancer,H01592,MAPK signaling,nt06526
Noonan syndrome,H01738,MAPK signaling,nt06526
Cardiofaciocutaneous syndrome,H01745,MAPK signaling,nt06526
Juvenile myelomonocytic leukemia,H02541,MAPK signaling,nt06526
Juvenile myelomonocytic leukemia,H02541,Efferocytosis,nt06535
Acute myeloid leukemia,H00003,Acute myeloid leukemia,nt06275
Acute myeloid leukemia,H00003,PI3K signaling,nt06530
Acute myeloid leukemia,H00003,Efferocytosis,nt06535
Gastric cancer,H00018,Gastric cancer,nt06261
Gastric cancer,H00018,Base excision repair,nt06504
Gastric cancer,H00018,WNT signaling,nt06505
Thyroid cancer,H00032,Thyroid cancer,nt06274
Melanoma,H00038,Melanoma,nt06268
Melanoma,H00038,Double-strand break repair,nt06506
Melanoma,H00038,Telomere length regulation,nt06510
Autoimmune lymphoproliferative syndromes,H00108,Apoptosis,nt06524
Autoimmune lymphoproliferative syndromes,H00108,Necroptosis,nt06527
Autoimmune lymphoproliferative syndromes,H00108,TCR/BCR signaling,nt06537
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Noonan syndrome,H01738,MAPK signaling,nt06526
Juvenile myelomonocytic leukemia,H02541,MAPK signaling,nt06526
Juvenile myelomonocytic leukemia,H02541,Efferocytosis,nt06535
Epidermal nevus,H02627,PI3K signaling,nt06530
Non-small cell lung cancer,H00014,Non-small cell lung cancer,nt06266
Non-small cell lung cancer,H00014,Chromosome cohesion and segregation,nt06512
Non-small cell lung cancer,H00014,Calcium signaling,nt06528
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Thyroid cancer,H00032,Thyroid cancer,nt06274
Melanoma,H00038,Melanoma,nt06268
Melanoma,H00038,Double-strand break repair,nt06506
Melanoma,H00038,Telomere length regulation,nt06510
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Noonan syndrome,H01738,MAPK signaling,nt06526
Cardiofaciocutaneous syndrome,H01745,MAPK signaling,nt06526
Leopard syndrome,H01984,MAPK signaling,nt06526
Leopard syndrome,H01984,Efferocytosis,nt06535
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Noonan syndrome,H01738,MAPK signaling,nt06526
Leopard syndrome,H01984,MAPK signaling,nt06526
Leopard syndrome,H01984,Efferocytosis,nt06535
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Cardiofaciocutaneous syndrome,H01745,MAPK signaling,nt06526
Melorheostosis,H02631,MAPK signaling,nt06526
Noonan syndrome and related disorders,H00523,MAPK signaling,nt06526
Cardiofaciocutaneous syndrome,H01745,MAPK signaling,nt06526
Noonan syndrome,H01738,MAPK signaling,nt06526
Common variable immunodeficiency,H00088,TNF signaling,nt06516
Common variable immunodeficiency,H00088,TCR/BCR signaling,nt06537
Chronic mucocutaneous ulceration,H02593,TNF signaling,nt06516
Asthma,H00079,Efferocytosis,nt06535
Systemic lupus erythematosus,H00080,TLR signaling,nt06517
Systemic lupus erythematosus,H00080,CGAS-STING signaling,nt06520
Systemic lupus erythematosus,H00080,TCR/BCR signaling,nt06537
Graft-versus-host disease,H00084,Efferocytosis,nt06535
Graft-versus-host disease,H00084,Efferocytosis,nt06535
Rheumatoid arthritis,H00630,Efferocytosis,nt06535
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Diseases of the tricarboxylic acid cycle,H01022,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Thermogenesis,nt06529
Cowden syndrome,H01222,PI3K signaling,nt06530
Malignant paraganglioma,H01510,Epigenetic regulation by Polycomb complexes,nt06523
Malignant paraganglioma,H01510,MAPK signaling,nt06526
Mitochondrial complex II deficiency,H02005,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Thermogenesis,nt06529
Malignant paraganglioma,H01510,Epigenetic regulation by Polycomb complexes,nt06523
Malignant paraganglioma,H01510,MAPK signaling,nt06526
Cowden syndrome,H01222,PI3K signaling,nt06530
Malignant paraganglioma,H01510,Epigenetic regulation by Polycomb complexes,nt06523
Malignant paraganglioma,H01510,MAPK signaling,nt06526
Mitochondrial complex II deficiency,H02005,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Distal hereditary motor neuropathies,H00856,Regulation of kinetochore-microtubule interactions,nt06515
Perry syndrome,H00879,Regulation of kinetochore-microtubule interactions,nt06515
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Lissencephaly,H00268,Regulation of kinetochore-microtubule interactions,nt06515
Keratoconus,H00789,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Congenital symmetric circumferential skin creases,H01579,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Congenital fibrosis of the extraocular muscles,H00838,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
